'Velocity (km/s)','Velocity Components (km/s): vx','Velocity Components (km/s): vy','Velocity Components (km/s): vz','Total Radiated Energy (J)','Calculated Total Impact Energy (kt)'
32.1,3,-17,-27,10000000000000,18
?,-10.7,-7.6,11.6,139000000000,0.41
?,14.4,4.6,6.5,309000000000,0.82
16.2,-2.3,5.7,16.5,3820000000000,7.6
?,11.5,-2.8,-2.2,33000000000,0.11
?,?,?,?,73000000000,0.23
?,?,?,?,34000000000,0.12
?,-28.2,3.4,4.6,33000000000,0.11
?,?,?,?,72000000000,0.23
?,2.3,2.5,-11.3,64000000000,0.2
?,?,?,?,35000000000,0.12
?,?,?,?,58000000000,0.19
?,-7.2,-12.1,-7.7,156000000000,0.45
?,?,?,?,20000000000,0.073
18.1,18,-2,-4,20000000000000,33
?,-35.4,1.8,-4.4,136000000000,0.4
?,?,?,?,3400000000000,6.9
?,?,?,?,34000000000,0.12
?,?,?,?,140000000000,0.41
?,-1.1,11.4,-9.9,147000000000,0.43
?,-7,16.1,9.4,105000000000,0.32
?,?,?,?,540000000000,1.3
?,?,?,?,94000000000,0.29
18.6,12.8,-13.3,-2.4,375000000000000,440
?,10,-12.7,2.2,39000000000,0.13
19.2,14,-16,-6,20000000000000,33
12.4,12,3.5,-10.5,245000000000,0.67
?,?,?,?,34000000000,0.12
?,-8,8.4,-5.5,1610000000000,3.5
?,-5,-11,-2.7,75000000000,0.23
?,?,?,?,53000000000,0.17
?,?,?,?,29000000000,0.1
?,?,?,?,55000000000,0.18
?,?,?,?,26000000000,0.092
?,17.7,-2.3,-0.1,69000000000,0.22
?,5.6,-2.3,-20.2,188000000000,0.53
?,?,?,?,78000000000,0.24
?,?,?,?,44000000000,0.15
?,?,?,?,22000000000,0.079
?,7.8,-16,-2.5,55000000000,0.18
?,?,?,?,48000000000,0.16
?,?,?,?,630000000000,1.5
?,15.9,-8.6,5.1,390000000000,1
?,?,?,?,160000000000,0.46
?,1,9,-8,5110000000000,10
?,16,14.9,-3.3,120000000000,0.36
?,?,?,?,26000000000,0.092
18,2.9,13.4,-12.5,136000000000,0.4
?,-11,-8,-1,32000000000,0.1
?,-3.4,-43.5,-10.3,31000000000,0.11
?,-2,-16.1,9.9,1050000000000,2.4
?,5,14,1,1070000000000,2.5
?,15.3,-13.3,-7.8,44000000000,0.15
?,?,?,?,28000000000,0.098
?,21.3,2.2,13.4,118000000000,0.35
?,?,?,?,20000000000,0.073
?,4.5,-14.4,-10,20000000000,0.073
?,5.5,-10.5,-16,72000000000,0.23
?,7,2.9,8.3,61000000000,0.2
?,?,?,?,39000000000,0.13
?,-5.2,-15.1,2.6,78000000000,0.24
?,0.4,-1.4,13.3,700000000000,1.7
?,15,-6.9,-3.5,29000000000,0.1
?,?,?,?,58000000000,0.19
?,?,?,?,65000000000,0.21
?,?,?,?,20000000000,0.073
?,-2.4,5.5,15.9,280000000000,0.75
?,?,?,?,198000000000,0.55
?,?,?,?,121000000000,0.36
?,1.4,15.3,1,470000000000,1.2
?,?,?,?,38000000000,0.13
?,?,?,?,60000000000,0.19
?,-12.2,-5.3,5.3,25000000000,0.089
?,?,?,?,120000000000,0.36
?,-2.3,-3.9,12.4,23000000000,0.082
?,-13.7,-1.7,0.8,64000000000,0.2
?,3.4,12,5.1,210000000000,0.58
?,-10.2,-5.2,12.4,23000000000,0.082
?,8,-15.6,-7.9,173000000000,0.49
?,-8,-23.7,-14.5,68000000000,0.22
?,5,-11.6,-0.7,249000000000,0.68
?,-1.9,14.1,-11.5,244000000000,0.67
?,?,?,?,42000000000,0.14
?,?,?,?,52000000000,0.17
?,?,?,?,143000000000,0.42
?,12.2,-4.2,0.9,105000000000,0.32
?,?,?,?,34000000000,0.12
?,?,?,?,229000000000,0.63
?,?,?,?,44000000000,0.15
?,0.8,2,-18.4,133000000000,0.39
?,-15.3,12.8,7.4,88000000000,0.27
?,-0.8,1.1,17,132000000000,0.39
