Atomic Number,Atomic Weight,Period,Group,Ionic Radius,Atomic Radius,Electronegativity,First Ionization Potential,Density,Melting Point (K),Boiling Point (K),Isotopes,Year of Discovery,Specific Heat Capacity,Display Row,Display Column
1,1.00794,1,1,0.012,0.79,2.2,13.5984,0.00009,14.175,20.28,3,1766,14.304,1,1
2,4.002602,1,18,?,0.49,?,24.5874,0.000179,?,4.22,5,1868,5.193,1,18
3,6.941,2,?,0.76,?,?,5.3917,0.534,453.85,1615,5,1817,3.582,2,1
4,9.012182,2,2,0.35,1.4,1.57,?,1.85,1560.15,2742,6,1798,?,2,2
5,10.811,2,13,0.23,1.2,2.04,8.298,2.34,2573.15,?,6,1808,1.026,2,13
6,?,2,?,?,0.91,2.55,11.2603,2.267,?,4300,7,?,0.709,2,14
7,14.0067,2,15,0.13,?,?,?,0.001251,63.29,77.36,8,1772,1.04,2,15
8,15.9994,?,16,1.4,0.65,3.44,13.6181,?,50.5,90.2,8,1774,0.918,2,?
9,?,2,17,1.3,0.57,3.98,17.4228,0.001696,53.63,?,6,1886,?,2,17
10,20.1797,2,18,?,?,?,?,0.0009,24.703,27.07,8,1898,1.03,2,18
11,22.989769,3,?,1,2.2,0.93,5.1391,?,371.15,1156,7,1807,1.228,?,1
12,24.305,3,2,?,1.7,1.31,?,1.738,?,1363,8,1755,1.023,3,2
13,?,3,13,0.54,?,1.61,5.9858,2.698,933.4,2792,8,1827,0.897,3,13
14,28.0855,3,?,0.4,1.5,1.9,8.1517,2.3296,?,?,8,1824,0.705,3,14
15,30.973762,3,15,0.38,1.2,2.19,?,1.82,317.25,553,7,1669,0.769,3,15
16,?,3,16,?,?,2.58,10.36,2.067,388.51,717.8,10,?,0.71,3,16
17,35.453,3,?,1.8,0.97,?,12.9676,?,172.31,239.11,11,1774,?,3,17
18,?,?,18,?,0.88,?,15.7596,0.001784,83.96,87.3,8,1894,0.52,3,?
19,39.0983,4,?,1.4,?,0.82,4.3407,0.862,?,1032,10,1807,0.757,4,1
20,40.078,4,2,0.99,?,1,?,1.54,1112.15,?,14,1808,0.647,4,2
21,44.955912,4,3,0.75,2.1,?,?,2.989,?,?,15,1878,?,?,3
22,47.867,4,?,?,2,1.54,6.8281,4.54,1933.15,?,9,1791,?,4,4
23,50.9415,4,5,0.59,1.9,1.63,6.7462,?,2175.15,3680,9,1801,0.489,4,5
24,?,4,?,0.52,1.9,1.66,6.7665,7.15,?,?,9,1797,0.449,4,6
