'Epoch (TDB)','TP (TDB)',e,'i (deg)','w (deg)','Node (deg)','q (AU)','Q (AU)','P (yr)','MOID (AU)','A1 (AU/d^2)','A2 (AU/d^2)','A3 (AU/d^2)','DT (d)'
54629,2455248.548,0.682527,4.894556,0.626838,295.98545,0.986192,5.23,5.48,0.027011,?,?,?,?
55101,2454741.329,0.666313,15.100746,203.649023,111.392003,1.190642,5.95,6.74,0.194101,?,?,?,?
49400,2446467.395,0.967143,162.262691,111.332485,58.420081,0.585978,35.08,75.32,0.063782,0,0,?,?
56870,2456618.204,0.848268,11.779995,186.540346,334.569806,0.336092,4.09,3.3,0.173092,0,-0,?,?
-9480,2390514.115,0.751299,13.2164,221.6588,250.669,0.879073,6.19,6.65,0.000518,0,-0,?,?
7440,2407439.534,0.809796,29.3821,14.9468,102.9676,0.589847,5.61,5.46,0.366559,0,0,?,?
56981,2457053.028,0.637528,22.335015,172.506161,93.416327,1.239215,5.6,6.32,0.224191,0,-0,-0,131
54374,2454492.526,0.8198,54.983185,207.509246,270.341652,1.027117,10.37,13.61,0.09531,0,0,-0,?
35000,2434885.381,0.954812,74.176894,199.028469,255.891144,0.773667,33.47,70.85,0.1873,-0,-0,?,?
35760,2435643.635,0.930297,44.609886,64.641207,86.103128,1.178451,32.64,69.52,0.477199,0,0,?,?
57003,2457018.557,0.720184,6.798913,347.552839,13.778147,0.975901,6,6.51,0.009433,0,0,?,?
40240,2440162.042,0.642581,17.758983,166.050417,240.875547,1.272248,5.85,6.72,0.28923,?,?,?,?
20080,2420098.29,0.919831,40.890061,57.080955,348.006447,1.254013,30.03,61.87,0.468283,?,?,?,?
56498,2455969.126,0.706818,31.908101,172.584425,195.397015,1.030696,6,6.59,0.035395,0,-0,-0,-32.8
47800,2447781.437,0.971952,19.33394,129.610684,311.585462,0.478753,33.66,70.52,0.193872,0,-0,?,?
52120,2452032.161,0.7048,11.75153,57.874493,79.831038,1.20501,6.96,8.25,0.28218,0,-0,?,?
56978,2456479.559,0.640277,22.428894,2.146692,211.537555,1.085248,4.95,5.24,0.079476,0,-0,?,?
56364,2455777.391,0.918981,28.966873,196.025397,250.62641,0.748287,17.72,28.07,0.215189,-0,-0,0,?
53821,2453898.291,0.660413,9.228028,62.193219,141.092931,1.047778,5.12,5.42,0.135384,0,0,?,?
56060,2455833.282,0.824672,4.252433,326.25804,89.002181,0.529761,5.51,5.25,0.060071,0,0,?,?
56799,2456482.869,0.659203,11.757139,356.340205,82.164391,1.052262,5.12,5.43,0.068212,0,-0,0,-3.73
51040,2450872.598,0.905553,162.486575,172.500274,235.270989,0.976428,19.7,33.24,0.008481,0,0,?,?
52920,2452879.492,0.787701,18.700736,257.249719,22.215365,1.274267,10.73,14.71,0.430358,-0,-0,?,?
56981,2457247.572,0.640974,7.040201,12.785606,50.14211,1.243242,5.68,6.44,0.257189,0,0,0,?
56981,2456850.137,0.819155,9.169284,337.858043,36.109196,0.784161,7.89,9.03,0.085253,?,?,?,?
50080,2449983.39,0.694827,11.423488,198.769979,69.946342,0.932771,5.18,5.34,0.045198,0,0,?,?
53880,2453894.424,0.693286,11.396952,198.799453,69.892477,0.939111,5.18,5.36,0.04071,0,0,?,?
55980,2455851.4,0.692226,11.379157,198.870591,69.843217,0.942857,5.18,5.36,0.038373,0,0,?,-12.2
51920,2451937.953,0.693877,11.405621,198.773244,69.917104,0.937437,5.19,5.36,0.041033,0,0,?,?
53839,2453894.596,0.693413,11.389562,198.774601,69.9084,0.939184,5.19,5.36,0.04054,?,?,?,?
53839,2453894.78,0.693566,11.391064,198.773805,69.907891,0.93917,5.19,5.37,0.04055,?,?,?,?
53815,2453894.65,0.691539,11.380265,198.869444,69.82886,0.93902,5.15,5.31,0.040713,?,?,?,?
53839,2453894.722,0.693543,11.391065,198.789644,69.897343,0.939077,5.19,5.36,0.040579,?,?,?,?
53839,2453894.829,0.694736,11.398713,198.747594,69.936783,0.939089,5.21,5.4,0.040654,?,?,?,?
53839,2453894.757,0.693941,11.394361,198.777556,69.905302,0.939097,5.2,5.37,0.040589,?,?,?,?
53839,2453894.77,0.692289,11.380941,198.764351,69.897303,0.939254,5.17,5.33,0.040527,?,?,?,?
53839,2453894.353,0.695576,11.405422,198.724136,69.9562,0.939159,5.23,5.42,0.04065,?,?,?,?
53839,2453894.179,0.698647,11.419358,198.495192,70.137888,0.939716,5.3,5.51,0.040746,?,?,?,?
